Airline,Departure,Arrival,Duration,Connection,Price
Pegasus,12:10,13:40,1sa 30dk,Direkt Uçuş,2731.99
Pegasus,17:15,18:45,1sa 30dk,Direkt Uçuş,2731.99
AJet,01:20,02:50,1sa 30dk,Direkt Uçuş,2851.99
AJet,14:00,15:30,1sa 30dk,Direkt Uçuş,2851.99
AJet,15:20,16:50,1sa 30dk,Direkt Uçuş,2851.99
AJet,18:55,20:25,1sa 30dk,Direkt Uçuş,2851.99
Pegasus,20:05,21:40,1sa 35dk,Direkt Uçuş,3006.99
AJet,11:35,13:05,1sa 30dk,Direkt Uçuş,3286.99
AJet,21:45,23:15,1sa 30dk,Direkt Uçuş,3286.99
Pegasus,11:45,13:20,1sa 35dk,Direkt Uçuş,3479.99
AJet,13:00,20:25,7sa 25dk,1 Aktarma,3482.99
AJet,10:00,20:25,10sa 25dk,1 Aktarma,3482.99
AJet,08:00,20:25,12sa 25dk,1 Aktarma,3482.99
AJet,05:45,19:25,13sa 40dk,1 Aktarma,3796.99
Pegasus,06:00,07:30,1sa 30dk,Direkt Uçuş,3833.99
AJet,07:15,08:45,1sa 30dk,Direkt Uçuş,3912.99
Pegasus,14:35,16:05,1sa 30dk,Direkt Uçuş,3984.99
Türk Hava Yolları,18:20,19:55,1sa 35dk,Direkt Uçuş,4065.99
Türk Hava Yolları,14:25,16:05,1sa 40dk,Direkt Uçuş,4065.99
Türk Hava Yolları,19:50,21:30,1sa 40dk,Direkt Uçuş,4065.99
AJet,05:25,09:55,4sa 30dk,1 Aktarma,4108.99
AJet,10:00,16:15,6sa 15dk,1 Aktarma,4108.99
AJet,08:00,16:15,8sa 15dk,1 Aktarma,4108.99
AJet,05:25,16:15,10sa 50dk,1 Aktarma,4108.99
Pegasus,20:35,22:05,1sa 30dk,Direkt Uçuş,4119.99
AJet,13:20,19:25,6sa 5dk,1 Aktarma,4379.99
Pegasus,23:55,01:25,1sa 30dk,Direkt Uçuş,4386.99
Türk Hava Yolları,01:10,02:45,1sa 35dk,Direkt Uçuş,4728.99
Pegasus,10:35,12:05,1sa 30dk,Direkt Uçuş,4957.99
AJet,23:50,08:25,8sa 35dk,1 Aktarma,5125.99
Türk Hava Yolları,13:15,14:50,1sa 35dk,Direkt Uçuş,5561.99
Türk Hava Yolları,16:20,18:00,1sa 40dk,Direkt Uçuş,5561.99
Pegasus,07:40,09:10,1sa 30dk,Direkt Uçuş,5737.99
AJet,19:55,08:25,12sa 30dk,1 Aktarma,6203.99
AJet,08:25,14:55,6sa 30dk,1 Aktarma,6279.99
AJet,05:00,14:55,9sa 55dk,1 Aktarma,6279.99
Türk Hava Yolları,06:45,08:20,1sa 35dk,Direkt Uçuş,6915.99
AJet,23:50,09:55,10sa 5dk,1 Aktarma,7241.99
AJet,05:45,12:00,6sa 15dk,1 Aktarma,7593.99
Türk Hava Yolları,10:00,11:35,1sa 35dk,Direkt Uçuş,7764.99
AJet,00:10,12:00,11sa 50dk,1 Aktarma,8193.99
AJet,19:55,09:55,14sa,1 Aktarma,8305.99
